상호명,출처,종류,x,y
셀핏 문화점,인허가,헬스장,992297,1813096
웰니스 지,인허가,헬스장,990427,1813996
파프리카짐 목동점,인허가,헬스장,991530,1815262
퍼스널 짐,인허가,헬스장,990350,1812610
베리굿 짐,인허가,헬스장,993262,1814133
올리브힐 휘트니스(헬스),인허가,헬스장,991678,1815508
레오PT studio,인허가,헬스장,992416,1813697
프라임PT,인허가,헬스장,991510,1813857
흥국 헬스클럽,인허가,헬스장,989906,1812447
보문헬스목욕탕,인허가,헬스장,991534,1812156
한라헬스클럽,인허가,헬스장,994991,1812317
헬스원,인허가,헬스장,990815,1812101
웰빙사우나,인허가,헬스장,989661,1811028
스타 헬스클럽,인허가,헬스장,990336,1813453
퀄리티짐,인허가,헬스장,991707,1815277
커브스 문화클럽,인허가,헬스장,991952,1813682
비타민휘트니스,인허가,헬스장,991654,1815817
애플휘트니스,인허가,헬스장,991047,1812452
토마토휘트니스,인허가,헬스장,994204,1812923
띠울아쿠아,인허가,헬스장,993320,1813265
GB휘트니스,인허가,헬스장,989758,1811798
더멋짐피트니스,인허가,헬스장,995337,1812047
파프리카 짐,인허가,헬스장,991904,1813751
K&K PT 스튜디오,인허가,헬스장,991875,1814132
초콜릿휘트니스,인허가,헬스장,994306,1812913
두드림휘트니스,인허가,헬스장,995898,1811359
더에스핏,인허가,헬스장,992216,1813878
퍼펙트짐,인허가,헬스장,993261,1813569
미라클 핏,인허가,헬스장,991468,1813966
대전 워너비 문화점,인허가,헬스장,991599,1813577
스포원휘트니스클럽,인허가,헬스장,990729,1813840
DS휘트니스센터,인허가,헬스장,991806,1814203
플레이짐,인허가,헬스장,990964,1814062
주식회사한국교육스파르타 짐,인허가,헬스장,993243,1814584
SelFit(셀핏),인허가,헬스장,992641,1813746
바닐라짐,인허가,헬스장,993159,1814464
헬스의 민족,인허가,헬스장,990773,1814920
리얼PT,인허가,헬스장,990879,1813521
베스트핏,인허가,헬스장,990391,1813650
헬스보이짐&필라걸 태평점,인허가,헬스장,990468,1814100
브라움 짐,인허가,헬스장,993686,1813918
피트 스포츠센터,인허가,헬스장,992578,1815391
오디너리핏,인허가,헬스장,993257,1814524
스프린트 PT,인허가,헬스장,993279,1813553
본투비짐,인허가,헬스장,991599,1813577
